,Petrol pump id,Petrol_pump_address latitude,Petrol_pump_address longitude,wait_time
0,1,37.7739233,-122.4373049,22.92574487179487
1,2,37.7737809,-122.437817,24.480877777777778
2,3,37.7734016,-122.4371386,21.278799999999997
3,4,37.7732056,-122.4456211,12.3184
4,5,37.7884261,-122.4357792,10.348590686274509
5,6,37.7815593,-122.4518482,4.510116666666667
6,7,37.7888635,-122.4358379,10.917164912280702
7,8,37.781907,-122.422712,14.136093939393938
8,9,37.7809425,-122.4585426,11.47476794871795
9,10,37.7858969,-122.4588755,13.85000238095238
10,11,37.7629642,-122.4354246,16.245887500000002
11,12,37.789594,-122.4226055,13.110519230769231
12,13,37.7626778,-122.4346687,15.204663333333334
13,14,37.7851612,-122.4621526,23.636116666666666
14,15,37.7718771,-122.4187192,17.758285416666666
15,16,37.7684839,-122.4203391,26.091546296296297
16,17,37.7985863,-122.444563,13.487716666666666
17,18,37.764493,-122.4243105,20.834582051282048
18,19,37.7992809,-122.4424261,21.404783333333334
19,20,37.7806589,-122.4676987,12.85607857142857
20,21,37.800695,-122.431447,24.83221354166667
21,22,37.8007585,-122.4309716,24.563452564102565
22,23,37.7649997,-122.4172497,27.535308333333333
23,24,37.765748,-122.464514,16.449818518518516
24,25,37.7637706,-122.4170849,15.261483333333333
25,26,37.7809668,-122.4715588,18.617025757575757
26,27,37.7734071,-122.4084635,20.96939761904762
27,28,37.7773016,-122.4046474,13.58803125
28,29,37.7799553,-122.403308,12.518016666666668
29,30,37.7647896,-122.4077385,27.253158333333335
30,31,37.7643926,-122.4070824,11.796476666666667
31,32,37.7523302,-122.4209538,22.987994444444446
32,33,37.765136,-122.477038,7.16862
33,34,37.8056112,-122.4150181,18.9799875
34,35,37.7638351,-122.4769102,18.335720833333333
35,36,37.7799144,-122.3980318,11.033333333333333
36,37,37.7614905,-122.476759,20.381406666666667
37,38,37.7614491,-122.4772466,23.942975
38,39,37.7804053,-122.4841082,14.111177777777778
39,40,37.7458093,-122.4518675,6.454057692307692
40,41,37.7806636,-122.3946854,28.83162777777778
41,42,37.7836281,-122.4852192,25.691666666666666
42,43,37.7485441,-122.4161983,4.382899999999999
43,44,37.7527035,-122.4760863,17.386442857142857
44,45,37.7421665,-122.4223948,12.720279999999999
45,46,37.7481917,-122.4084803,35.83888888888889
46,47,37.7486881,-122.406429,33.141666666666666
47,48,37.7502986,-122.4759006,40.19016666666667
48,49,37.7402714,-122.4237077,15.342183333333333
49,50,37.754202,-122.4821684,18.794941666666666
50,51,37.7469945,-122.4034761,13.950863333333334
51,52,37.7408082,-122.4652256,13.921344444444445
52,53,37.740492,-122.4648277,13.499275
53,54,37.7446693,-122.4760215,30.090294444444442
54,55,37.743409,-122.475975,15.04474
55,56,37.7426258,-122.4052556,22.881142708333332
56,57,37.7792981,-122.4984606,17.44977777777778
57,58,37.753144,-122.388114,15.633333333333333
58,59,37.7301553,-122.4296471,22.946655555555555
59,60,37.7290445,-122.4313316,8.9952
60,61,37.7424411,-122.4861128,6.603278571428572
61,62,37.7566936,-122.50167450000001,30.6122
62,63,37.7325046,-122.4059792,26.1125
63,64,37.7322243,-122.4058025,16.5
64,67,37.7320958,-122.4039747,25.125
65,69,37.7231293,-122.4444223,8.975
66,70,37.7638767,-122.5091575,12.744583333333333
67,71,37.730488199999996,-122.4027404,14.991616666666667
68,72,37.7246996,-122.4610835,32.90071944444444
69,73,37.7229983,-122.4529322,9.331583333333333
70,74,37.717795100000004,-122.4427927,16.536366666666666
71,75,37.7169521,-122.4410316,3.05
72,79,37.7181952,-122.4729085,39.927566666666664
73,80,37.716195,-122.4720377,25.72356111111111
74,81,37.7117609,-122.4556123,6.032916666666666
75,82,37.7090819,-122.4527442,34.879025
76,83,37.7056909,-122.4068867,1.6666666666666667
77,84,37.705085,-122.407218,1.6583333333333332
78,85,37.7036561,-122.4757865,19.38982619047619
79,86,37.7019236,-122.4843421,19.15025277777778
80,87,37.8587248,-122.4844171,26.90039545454545
